,Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","BVB Stadion Dortmund, Dortmund","Camp de Mestalla, Valencia","Estadio Metropolitano, Madrid","Estadio Santiago Bernab√©u, Madrid","OL Stadium, D√©cines","Parc des Princes, Paris","RB Arena, Leipzig","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stamford Bridge, London","Tottenham Hotspur Stadium, London"
0,AtlÈtico,1,8,2,6,0,0,2,5,33,288,67,194,113.2,49,2,13,2,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1,Liverpool,0,7,0,6,2,0,2,1,67,765,83,636,107.8,41,1,6,0,3,0,13,0,0,0,1,0,0,0,0,0,0,0,0
2,Dortmund,1,12,3,7,2,0,3,2,48,573,87,499,109.8,53,1,7,2,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0
3,Paris,0,9,3,7,2,1,3,3,52,650,90,584,104.9,47,7,6,2,4,0,11,0,1,0,0,0,0,0,0,0,0,0,0
4,Atalanta,1,11,5,5,1,0,6,1,48,499,83,413,113.2,53,5,18,3,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0
5,Valencia,0,17,4,5,3,1,6,3,52,489,82,401,109.5,45,4,13,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
6,Tottenham,1,12,6,4,2,1,6,2,45,418,81,338,107.8,38,0,15,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,1
7,Leipzig,0,16,5,4,7,1,6,5,55,577,87,500,113.6,42,3,15,2,3,0,17,0,0,0,0,0,0,0,0,0,0,0,1
8,Chelsea,0,7,3,4,0,0,3,2,37,416,82,340,114,41,1,16,3,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0
9,Bayern,3,15,6,4,3,1,3,0,63,730,88,639,115.8,53,6,6,0,2,0,11,0,0,0,0,0,0,0,0,0,0,1,0
10,Napoli,0,7,4,2,1,0,2,1,37,430,85,366,111.7,37,1,7,2,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0
11,Barcelona,3,7,1,2,2,0,2,2,63,818,91,743,100.9,37,5,9,1,5,1,11,0,0,0,0,0,0,0,0,1,0,0,0
12,Lyon,0,12,2,6,4,1,5,1,38,388,78,303,118.1,45,1,26,5,2,0,17,0,0,0,0,0,1,0,0,0,0,0,0
13,Juventus,3,15,1,6,5,0,5,3,62,675,85,576,112.6,35,5,6,4,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
14,Real Madrid,0,9,3,4,2,0,1,0,50,593,86,508,106.5,36,4,8,3,2,1,13,0,0,0,0,1,0,0,0,0,0,0,0
15,Man. City,3,16,8,4,3,0,1,0,50,618,87,540,112.9,43,2,11,2,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0
16,Valencia,3,16,7,6,3,0,9,3,57,551,81,448,103.7,48,1,10,2,4,0,14,0,0,1,0,0,0,0,0,0,0,0,0
17,Atalanta,4,11,5,6,2,1,9,1,43,372,78,289,107.1,51,8,20,3,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0
18,Leipzig,3,13,5,4,4,0,6,3,52,573,79,454,108.6,70,2,9,2,2,0,21,0,0,0,0,0,0,0,1,0,0,0,0
19,Tottenham,4,7,3,4,2,0,6,1,48,492,79,387,105.1,54,2,11,4,4,0,12,0,0,0,0,0,0,0,1,0,0,0,0
20,Liverpool,3,35,12,15,8,2,16,2,64,914,82,745,147.5,69,5,8,0,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0
21,Atl√©tico,4,10,6,15,0,0,16,4,36,362,66,238,151.1,66,5,54,7,2,0,17,1,0,0,0,0,0,0,0,0,0,0,0
22,Paris,3,9,4,3,2,0,5,2,50,519,87,449,108.3,40,6,16,3,5,0,13,0,0,0,0,0,0,1,0,0,0,0,0
23,Dortmund,4,12,2,3,3,0,5,0,50,612,81,498,108.6,44,2,19,2,2,1,17,0,0,0,0,0,0,1,0,0,0,0,0
